# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 2.0
# Generated: 2006-08-15, 04:35:21 GMT
# Checkin: $Revision: 1.11 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Armenian; Cherokee: [հ]

0570          ; Armn; Cher; L #      (հ)  ARMENIAN SMALL LETTER HO

# Total code points: 1

# Armenian; Cyrillic: [հյօ]

0570          ; Armn; Cyrl; L #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Cyrl; L #      (յ)  ARMENIAN SMALL LETTER YI
0585          ; Armn; Cyrl; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 3

# Armenian; Devanagari: [օ]

0585          ; Armn; Deva; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [ծոռսօ]

056E          ; Armn; Grek; L #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 5

# Armenian; Gujarati: [օ]

0585          ; Armn; Gujr; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Gurmukhi: [օ]

0585          ; Armn; Guru; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]

0585          ; Armn; Knda; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]

0585          ; Armn; Laoo; L #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [գզհյոռսցքօ]

0563          ; Armn; Latn; L #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; L #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; L #      (հ)  ARMENIAN SMALL LETTER HO
0575          ; Armn; Latn; L #      (յ)  ARMENIAN SMALL LETTER YI
0578          ; Armn; Latn; L #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; L #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0581          ; Armn; Latn; L #      (ց)  ARMENIAN SMALL LETTER CO
0584..0585    ; Armn; Latn; L #  [2] (ք..օ)  ARMENIAN SMALL LETTER KEH..ARMENIAN SMALL LETTER OH

